name	description
VFG0030	VFG0030 bplI - lipopolysaccharide biosynthesis protein [Bordetella pertussis Tohama I] (VF0033)
VFG0031	VFG0031 bplH - putative glycosyl transferase [Bordetella pertussis Tohama I] (VF0033)
VFG0032	VFG0032 bplG - probable sugar transferase [Bordetella pertussis Tohama I] (VF0033)
VFG0033	VFG0033 bplF - lipopolysaccharide biosynthesis protein [Bordetella pertussis Tohama I] (VF0033)
VFG0034	VFG0034 bplE - probable glycosyl transferase [Bordetella pertussis Tohama I] (VF0033)
VFG0035	VFG0035 bplD - UDP-N-acetylglucosamine 2-epimerase [Bordetella pertussis Tohama I] (VF0033)
VFG0036	VFG0036 bplC - lipopolysaccharide biosynthesis protein [Bordetella pertussis Tohama I] (VF0033)
VFG0037	VFG0037 bplB - probable acetyltransferase [Bordetella pertussis Tohama I] (VF0033)
VFG0038	VFG0038 bplA - probable oxidoreductase [Bordetella pertussis Tohama I] (VF0033)
VFG0039	VFG0039 bscC - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0040	VFG0040 bscW - hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0041	VFG0041 bscU - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0042	VFG0042 bscT - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0043	VFG0043 bscS - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0044	VFG0044 bscR - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0045	VFG0045 bscQ - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0046	VFG0046 bscP - hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0047	VFG0047 bscO - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0048	VFG0048 bscN - putative ATP synthase in type III secretion system [Bordetella pertussis Tohama I] (VF0035)
VFG0049	VFG0049 bscL - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0050	VFG0050 bscK - conserved hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0051	VFG0051 bscJ - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0052	VFG0052 bscI - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0053	VFG0053 bcr4 - hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0054	VFG0054 bcrH2 - putative regulatory protein [Bordetella pertussis Tohama I] (VF0035)
VFG0055	VFG0055 bopB - putative outer protein B [Bordetella pertussis Tohama I] (VF0035)
VFG0056	VFG0056 bopD - putative outer protein D [Bordetella pertussis Tohama I] (VF0035)
VFG0057	VFG0057 bcrH1 - putative regulatory protein [Bordetella pertussis Tohama I] (VF0035)
VFG0058	VFG0058 orf4 - hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0059	VFG0059 bsp22 - putative secreted protein [Bordetella pertussis Tohama I] (VF0035)
VFG0060	VFG0060 bopN - putative outer protein N [Bordetella pertussis Tohama I] (VF0035)
VFG0061	VFG0061 orf3 - hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0062	VFG0062 orf2 - conserved hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0063	VFG0063 orf1 - conserved hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0064	VFG0064 bcrD - putative type III secretion pore protein [Bordetella pertussis Tohama I] (VF0035)
VFG0065	VFG0065 bscD - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0066	VFG0066 bscE - hypothetical protein [Bordetella pertussis Tohama I] (VF0035)
VFG0067	VFG0067 bscF - putative type III secretion protein [Bordetella pertussis Tohama I] (VF0035)
VFG0158	VFG0158 cyaC - cyclolysin-activating lysine-acyltransferase [Bordetella pertussis Tohama I] (VF0028)
VFG1269	VFG1269 cyaB - cyclolysin secretion ATP-binding protein [Bordetella pertussis Tohama I] (VF0028)
VFG1270	VFG1270 cyaD - cyclolysin secretion protein [Bordetella pertussis Tohama I] (VF0028)
VFG1271	VFG1271 cyaE - cyclolysin secretion protein [Bordetella pertussis Tohama I] (VF0028)
VFG1272	VFG1272 fhaC - hemolysin activator-like protein [Bordetella pertussis Tohama I] (VF0025)
VFG2044	VFG2044 bvgA - virulence factors transcription regulator [Bordetella pertussis Tohama I] (VF0336)
VFG2045	VFG2045 bvgS - virulence sensor protein [Bordetella pertussis Tohama I] (VF0336)
VFG2208	VFG2208 BMEII0025 - Attachment mediating protein VirB1 Homolog [Brucella melitensis 16M] (VF0365)
VFG2209	VFG2209 BMEII0026 - VirB2 [Brucella melitensis 16M] (VF0365)
VFG2210	VFG2210 BMEII0027 - VirB3 [Brucella melitensis 16M] (VF0365)
VFG2211	VFG2211 BMEII0028 - ATPase VirB4 homolog [Brucella melitensis 16M] (VF0365)
VFG2212	VFG2212 BMEII0029 - VirB5 [Brucella melitensis 16M] (VF0365)
VFG2213	VFG2213 BMEII0030 - Channel protein VirB6 homolog [Brucella melitensis 16M] (VF0365)
VFG2214	VFG2214 BMEII0031 - VirB7 [Brucella melitensis 16M] (VF0365)
VFG2215	VFG2215 BMEII0032 - VirB8 [Brucella melitensis 16M] (VF0365)
VFG2216	VFG2216 BMEII0033 - Channel protein VirB9 homolog [Brucella melitensis 16M] (VF0365)
VFG2217	VFG2217 BMEII0034 - Channel protein VirB10 homolog [Brucella melitensis 16M] (VF0365)
VFG2218	VFG2218 BMEII0035 - ATPase VirB11 homolog [Brucella melitensis 16M] (VF0365)
VFG2219	VFG2219 cgs - cyclic beta 1-2 glucan synthetase [Brucella melitensis 16M] (VF0366)
VFG2220	VFG2220 pgm - phosphoglucomutase [Brucella melitensis 16M] (VF0367)
VFG2221	VFG2221 manA - mannose-6-phosphate isomerase [Brucella melitensis 16M] (VF0367)
VFG2222	VFG2222 manC - mannose-1-phosphate guanylyltransferase [Brucella melitensis 16M] (VF0367)
VFG2223	VFG2223 pmm/manB - phosphomannomutase [Brucella melitensis 16M] (VF0367)
VFG2224	VFG2224 wbkA - mannosyltransferase [Brucella melitensis 16M] (VF0367)
VFG2225	VFG2225 gmd - GDP-mannose 4,6-dehydratase [Brucella melitensis 16M] (VF0367)
VFG2226	VFG2226 per - perosamine synthetase [Brucella melitensis 16M] (VF0367)
VFG2227	VFG2227 wzm - O-antigen export system permease protein [Brucella melitensis 16M] (VF0367)
VFG2228	VFG2228 wzt - O-antigen export system ATP-binding protein [Brucella melitensis 16M] (VF0367)
VFG2229	VFG2229 wbkB - perosamine synthetase WbkB [Brucella melitensis 16M] (VF0367)
VFG2230	VFG2230 wbkC - GDP-mannose 4,6-dehydratase / GDP-4-amino-4,6-dideoxy-D-mannose formyltransferase [Brucella melitensis 16M] (VF0367)
VFG2544	VFG2544 bspR5 - LuxR family transcriptional regulator [Burkholderia pseudomallei K96243] (VF0433)
VFG2545	VFG2545 BPSL2786 - acetyltransferase [Burkholderia pseudomallei K96243] (VF0436)
VFG2569	VFG2569 manC - GDP-mannose pyrophosphorylase [Burkholderia pseudomallei K96243] (VF0436)
VFG2568	VFG2568 wcbA - capsule polysaccharide export protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2566	VFG2566 wcbC - capsular polysaccharide biosynthesis/export protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2567	VFG2567 wcbB - capsular polysaccharide glycosyltransferase biosynthesis protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2565	VFG2565 wcbD - capsule polysaccharide export ABC transporter transmembrane protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2560	VFG2560 wcbG - capsular polysaccharide biosynthesis protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2561	VFG2561 wcbF - capsule polysaccharide biosynthesis protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2562	VFG2562 wcbE - glycosyltransferase [Burkholderia pseudomallei K96243] (VF0436)
VFG2563	VFG2563 wzt2 - ATP-binding ABC transporter capsular polysaccharide export protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2564	VFG2564 wzm - capsular polysaccharide export ABC transporter transmembrane protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2445	VFG2445 bapB - acyl carrier protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2443	VFG2443 bopE - G-nucleotide exchange factor [Burkholderia pseudomallei K96243] (VF0428)
VFG2444	VFG2444 bapC - invasion protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2441	VFG2441 bicP - chaperone [Burkholderia pseudomallei K96243] (VF0428)
VFG2442	VFG2442 bopA - intercellular spread protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2439	VFG2439 bprD - hypothetical protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2440	VFG2440 bprB - two-component response regulator [Burkholderia pseudomallei K96243] (VF0428)
VFG2438	VFG2438 bprC - AraC family transcriptional regulator [Burkholderia pseudomallei K96243] (VF0428)
VFG2437	VFG2437 boaB - hypothetical protein [Burkholderia pseudomallei K96243] (VF0435)
VFG2424	VFG2424 bimA - hypothetical protein [Burkholderia pseudomallei K96243] (VF0427)
VFG2425	VFG2425 pilA - type 4 fimbrial pilin protein [Burkholderia pseudomallei K96243] (VF0431)
VFG2426	VFG2426 pilB - type IV pilus assembly protein [Burkholderia pseudomallei K96243] (VF0431)
VFG2427	VFG2427 pilC - type IV pilus assembly protein PilC [Burkholderia pseudomallei K96243] (VF0431)
VFG2428	VFG2428 pilD - type IV prepilin leader peptide type M1 [Burkholderia pseudomallei K96243] (VF0431)
VFG2429	VFG2429 pilV - type IV pilus biosynthesis protein [Burkholderia pseudomallei K96243] (VF0431)
VFG2430	VFG2430 pilS - major pilin subunit [Burkholderia pseudomallei K96243] (VF0431)
VFG2431	VFG2431 pilR - type IV pilus biosynthesis protein [Burkholderia pseudomallei K96243] (VF0431)
VFG2432	VFG2432 pilQ - type IV pilus biosynthesis protein [Burkholderia pseudomallei K96243] (VF0431)
VFG2433	VFG2433 pilO - type IV pilus biosynthesis protein [Burkholderia pseudomallei K96243] (VF0431)
VFG2434	VFG2434 pilN - type IV pilus biosynthesis protein [Burkholderia pseudomallei K96243] (VF0431)
VFG2435	VFG2435 pilT - twitching motility protein [Burkholderia pseudomallei K96243] (VF0431)
VFG2436	VFG2436 boaA - surface-exposed protein [Burkholderia pseudomallei K96243] (VF0434)
VFG2541	VFG2541 bspI3 - N-acylhomoserine lactone synthase [Burkholderia pseudomallei K96243] (VF0433)
VFG2542	VFG2542 bspR3 - N-acylhomoserine lactone-dependent regulatory protein [Burkholderia pseudomallei K96243] (VF0433)
VFG2543	VFG2543 bspR4 - LuxR family transcriptional regulator [Burkholderia pseudomallei K96243] (VF0433)
VFG2539	VFG2539 bspI2 - N-acylhomoserine lactone synthase [Burkholderia pseudomallei K96243] (VF0433)
VFG2540	VFG2540 bspR2 - N-acyl-homoserine lactone dependent regulatory protein [Burkholderia pseudomallei K96243] (VF0433)
VFG2537	VFG2537 pmlI/bspI1 - N-acylhomoserine lactone synthase [Burkholderia pseudomallei K96243] (VF0433)
VFG2538	VFG2538 pmlR/bspR1 - N-acylhomoserine lactone dependent regulatory protein [Burkholderia pseudomallei K96243] (VF0433)
VFG2535	VFG2535 fliC - flagellin [Burkholderia pseudomallei K96243] (VF0430)
VFG2536	VFG2536 fliD - flagellar hook-associated protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2534	VFG2534 motA - flagellar motor protein MotA [Burkholderia pseudomallei K96243] (VF0430)
VFG2532	VFG2532 cheY1 - chemotaxis two-component response regulator CheY1 [Burkholderia pseudomallei K96243] (VF0430)
VFG2533	VFG2533 motB - flagellar motor protein MotB [Burkholderia pseudomallei K96243] (VF0430)
VFG2530	VFG2530 cheW - chemotaxis protein CheW [Burkholderia pseudomallei K96243] (VF0430)
VFG2531	VFG2531 cheA - chemotaxis two-component sensor kinase CheA [Burkholderia pseudomallei K96243] (VF0430)
VFG2501	VFG2501 fliG - flagellar motor switch protein G [Burkholderia pseudomallei K96243] (VF0430)
VFG2502	VFG2502 fliF - flagellar MS-ring protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2498	VFG2498 fliJ - flagellar fliJ protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2499	VFG2499 fliI - flagellum-specific ATP synthase [Burkholderia pseudomallei K96243] (VF0430)
VFG2500	VFG2500 fliH - flagellar assembly protein H [Burkholderia pseudomallei K96243] (VF0430)
VFG2495	VFG2495 fliQ - flagellar biosynthesis protein FliQ [Burkholderia pseudomallei K96243] (VF0430)
VFG2496	VFG2496 fliR - flagellar biosynthetic protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2497	VFG2497 fliK - flagellar hook-length control protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2488	VFG2488 BPSS1510 - hypothetical protein [Burkholderia pseudomallei K96243] (VF0429)
VFG2489	VFG2489 BPSS1511 - hypothetical protein [Burkholderia pseudomallei K96243] (VF0429)
VFG2494	VFG2494 fliP - flagellar biosynthesis protein FliP [Burkholderia pseudomallei K96243] (VF0430)
VFG2490	VFG2490 fliL - flagellar basal body protein FliL [Burkholderia pseudomallei K96243] (VF0430)
VFG2491	VFG2491 fliM - flagellar motor switch protein FliM [Burkholderia pseudomallei K96243] (VF0430)
VFG2492	VFG2492 fliN - flagellar motor switch protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2493	VFG2493 fliO - flagellar protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2559	VFG2559 wcbH - glycosyl transferase [Burkholderia pseudomallei K96243] (VF0436)
VFG2546	VFG2546 wcbT - acyl-CoA transferase [Burkholderia pseudomallei K96243] (VF0436)
VFG2558	VFG2558 wcbI - capsular polysaccharide biosynthesis protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2556	VFG2556 wcbK - GDP sugar epimerase/dehydratase [Burkholderia pseudomallei K96243] (VF0436)
VFG2557	VFG2557 wcbJ - capsular polysaccharide biosynthesis protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2555	VFG2555 wcbL - sugar kinase [Burkholderia pseudomallei K96243] (VF0436)
VFG2554	VFG2554 gmhA - phosphoheptose isomerase [Burkholderia pseudomallei K96243] (VF0436)
VFG2553	VFG2553 wcbM - D-glycero-d-manno-heptose 1-phosphate guanosyltransferase [Burkholderia pseudomallei K96243] (VF0436)
VFG2552	VFG2552 wcbN - D-glycero-d-manno-heptose 1,7-bisphosphate phosphatase [Burkholderia pseudomallei K96243] (VF0436)
VFG2551	VFG2551 wcbO - capsule polysaccharide biosynthesis/export protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2550	VFG2550 wcbP - capsular polysaccharide biosynthesis dehydrogenase/reductase [Burkholderia pseudomallei K96243] (VF0436)
VFG2549	VFG2549 wcbQ - capsular polysaccharide biosynthesis transmembrane protein [Burkholderia pseudomallei K96243] (VF0436)
VFG2548	VFG2548 wcbR - capsular polysaccharide biosynthesis fatty acid synthase [Burkholderia pseudomallei K96243] (VF0436)
VFG2547	VFG2547 wcbS - UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Burkholderia pseudomallei K96243] (VF0436)
VFG2527	VFG2527 cheD - chemoreceptor glutamine deamidase CheD [Burkholderia pseudomallei K96243] (VF0430)
VFG2528	VFG2528 cheR - chemotaxis protein methyltransferase [Burkholderia pseudomallei K96243] (VF0430)
VFG2529	VFG2529 tsr - methyl-accepting chemotaxis protein I [Burkholderia pseudomallei K96243] (VF0430)
VFG2525	VFG2525 cheY - chemotaxis protein CheY [Burkholderia pseudomallei K96243] (VF0430)
VFG2526	VFG2526 cheB - chemotaxis-specific methylesterase [Burkholderia pseudomallei K96243] (VF0430)
VFG2524	VFG2524 cheZ - chemotaxis regulator CheZ [Burkholderia pseudomallei K96243] (VF0430)
VFG2522	VFG2522 flhA - flagellar biosynthesis protein FlhA [Burkholderia pseudomallei K96243] (VF0430)
VFG2523	VFG2523 flhB - flagellar biosynthesis protein FlhB [Burkholderia pseudomallei K96243] (VF0430)
VFG2521	VFG2521 flhF - flagellar biosynthesis regulator FlhF [Burkholderia pseudomallei K96243] (VF0430)
VFG2520	VFG2520 flhG - flagellar biosynthesis protein FlhG [Burkholderia pseudomallei K96243] (VF0430)
VFG2519	VFG2519 fliA - flagellar biosynthesis sigma factor [Burkholderia pseudomallei K96243] (VF0430)
VFG2517	VFG2517 flgK - flagellar hook-associated protein FlgK [Burkholderia pseudomallei K96243] (VF0430)
VFG2518	VFG2518 flgL - flagellar hook-associated protein FlgL [Burkholderia pseudomallei K96243] (VF0430)
VFG2516	VFG2516 flgJ - flagellar rod assembly protein/muramidase FlgJ [Burkholderia pseudomallei K96243] (VF0430)
VFG2515	VFG2515 flgI - flagellar basal body P-ring protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2512	VFG2512 flgF - flagellar basal body rod protein FlgF [Burkholderia pseudomallei K96243] (VF0430)
VFG2513	VFG2513 flgG - flagellar basal body rod protein FlgG [Burkholderia pseudomallei K96243] (VF0430)
VFG2514	VFG2514 flgH - flagellar basal body L-ring protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2509	VFG2509 flgC - flagellar basal body rod protein FlgC [Burkholderia pseudomallei K96243] (VF0430)
VFG2510	VFG2510 flgD - flagellar basal body rod modification protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2511	VFG2511 flgE - flagellar hook protein FlgE [Burkholderia pseudomallei K96243] (VF0430)
VFG2508	VFG2508 flgB - flagellar basal-body rod protein FlgB [Burkholderia pseudomallei K96243] (VF0430)
VFG2503	VFG2503 fliE - flagellar hook-basal body complex protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2504	VFG2504 fliS - flagellar protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2505	VFG2505 flgN - flagella synthesis protein [Burkholderia pseudomallei K96243] (VF0430)
VFG2506	VFG2506 flgM - negative regulator of flagellin synthesis [Burkholderia pseudomallei K96243] (VF0430)
VFG2507	VFG2507 flgA - flagellar basal body P-ring biosynthesis protein FlgA [Burkholderia pseudomallei K96243] (VF0430)
VFG2484	VFG2484 BPSS1506 - hypothetical protein [Burkholderia pseudomallei K96243] (VF0429)
VFG2485	VFG2485 BPSS1507 - hypothetical protein [Burkholderia pseudomallei K96243] (VF0429)
VFG2486	VFG2486 BPSS1508 - hypothetical protein [Burkholderia pseudomallei K96243] (VF0429)
VFG2487	VFG2487 BPSS1509 - hypothetical protein [Burkholderia pseudomallei K96243] (VF0429)
VFG2483	VFG2483 BPSS1505 - hypothetical protein [Burkholderia pseudomallei K96243] (VF0429)
VFG2482	VFG2482 BPSS1504 - hypothetical protein [Burkholderia pseudomallei K96243] (VF0429)
VFG2446	VFG2446 bapA - hypothetical protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2447	VFG2447 bipD - membrane antigen [Burkholderia pseudomallei K96243] (VF0428)
VFG2448	VFG2448 bprA - HNS-like regulatory protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2449	VFG2449 bipC - cell invasion protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2450	VFG2450 bipB - cell invasion protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2451	VFG2451 bicA - surface presentation of antigens protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2452	VFG2452 bsaZ - surface presentation of antigens protein SpaS [Burkholderia pseudomallei K96243] (VF0428)
VFG2453	VFG2453 bsaY - surface presentation of antigens protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2454	VFG2454 bsaX - surface presentation of antigens protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2455	VFG2455 spaP - surface presentation of antigens protein SpaP [Burkholderia pseudomallei K96243] (VF0428)
VFG2456	VFG2456 bsaV - surface presentation of antigens protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2457	VFG2457 bsaU - hypothetical protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2458	VFG2458 bsaT - surface presentation of antigens protein [Burkholderia pseudomallei K96243] (VF0428)
VFG2459	VFG2459 bsaS - ATP synthase SpaL [Burkholderia pseudomallei K96243] (VF0428)
